input,output
کشور ایسلند از لحاظ زمین شناسی چگونه کشوری است؟,زمین این کشور از نظر آتشفشانی و زمین‌شناختی فعال است و در آن آبفشان‌های بسیار یافت می‌شود و انرژی زمین‌گرمایی نیز در بسیاری از نقاط آن در دسترس است
آب و هوای آن چطور است؟,آب‌وهوای سرد و قطبی دارد ولی حضور جبهه‌هایی از هوای معتدل از سرمای شدید این جزیره کاسته‌است
منطقه داخلی آن به چه صورت است؟,منطقه داخلی جزیره بیشتر از فلاتی تشکیل شده که با ماسه‌زارها، کوه‌ها و یخچال‌ها پوشیده شده‌است
اولین انسانهایی که در ایسلند به طور دائمی ساکن شدند که بودند؟,اینگولفور آرنارسون، یک رئیس قبیله از نروژ با افراد خود
قبل از مستقل شدن، ایسلند جزو کدام کشور بود؟,جزئی از پادشاهی نروژ و پس از آن بخشی از پادشاهی دانمارک
آیا عضو ناتو است؟,عضو پیمان ناتو
عضو شنگن چطور؟,عضو اتحاد شنگن
آیا در ایران نیز سفارت دارد؟,غیرقابل‌پاسخ
فواره قطبی چیست؟,پدیده‌ای است که اغلب در اخترشناسی مشاهده می‌شود و طی آن جریان‌هایی از ماده در راستای محور چرخش یک جسم فشرده به فضا پاشیده می‌شوند
فواره نسبیتی چیست؟,وقتی که ماده در این فواره‌ها با سرعتی نزدیک به سرعت نور در فضا پخش می‌شود، به آن فواره نسبیتی می‌گویند
بزرگترین فواره قطبی کجاست؟,در کهکشانهای فعال مانند اختروش‌ها
آیا در جاهای دیگر نیز وجود دارد؟,ستارگان متغیر فورانی، دوتایی‌های پرتو ایکس و ستارگان تی ثوری
فواره های قطبی چگونه به وجود می آیند؟,این پدیده اغلب بر اثر برهمکنش‌های دینامیک در درون یک قرص برافزایشی به وجود می‌آید
منشا آن چیست؟,گرچه هنوز چگونگی شکل‌گیری و انرژی فواره‌های قطبی تا حدود زیادی ناشناخته مانده‌است، اما دو پندار غالب در مورد منشا این فواره‌ها جسم مرکزی (مانند سیاهچاله) و قرص برافزایشی هستند
اگر انسان در این فواره ها قرار بگیرد چه اتفاقی برایش میفتد؟,اگر شما به طور اتفاقی با یک فضاپیمای محکم در آنجا قرار بگیرید میتوانید در زمانی بسیار کم به نقاط دور دست سفر کنید
این اتفاق شبیه کدام عمل در طبیعت است؟,موج سواری
ماده میان ستاره ای چیست؟,غیرقابل‌پاسخ
هربیگ-هارو چیست؟,از برهمکنش فواره‌های قطبی با ماده میان ستاره‌ای منجر به پیدایش اشیای هربیگ-هارو می‌شود
نزدیکترین سازه به فواره های قطبی چیست؟,کرمچاله‌ها
اسم پاپ بندیکت شانزدهم چیست؟,یوزف آلویس راتسینگر
انگیزه او برای کاردینال شدن چه بود؟,زرق و برق و جلوه خیره‌کننده لباس کاردینالی، آن قدر او را مجذوب کرد که تصمیم گرفت بعدها کاردینال شود
آیا در جوانی به آرزوی خود رسید؟,به جای این کار در چهارده سالگی عضو سازمان جوانان هیتلری شد
در طول جنگ به چه کاری مشغول بود؟,با شروع جنگ، مدتی سپر تانک ساخت و بعد به نیروی ضدهوایی مونیخ پیوست
چرا تصمیم گرفت که دوباره به کلیسا برگردد؟,تجربیاتش در اردوگاه جنگی و حزب نازی باعث شد به این نتیجه برسد که هیچ چیز غیر از کلیسا نمی‌تواند در برابر این همه خشونت و جنگ بایستد
در چند سالگی کاردینال شد؟,پنجاه سالگی
مردم چگونه متوجه میشدند که پاپ انتخاب شده است؟,وقتی پاپ انتخاب شد دود سفیدی از دهانه دودکش ساختمان دیده می‌شود و سخنگوی کاردینال‌ها از ایوان اتاق گرد هم آیی به مردم خبر می‌دهد «habemus papam» به معنای لغوی «پاپ داریم»
آیو قمر کدام سیاره محسوب میشود؟,سیارهٔ مشتری
آیا دارای جو است؟,اتمسفر آیو بیشتر از دی‌اکسید گوگرد تشکیل شده است و اندکی دارای سدیم کلرید، منواکسید گوگرد، گوگرد و اکسیژن نیز می‌باشد
فشار جوی آن چطور است؟,غیرقابل‌پاسخ
انداره‌اش چقدر است؟,آیو نزدیک‌ترین قمر از اقمار گالیله‌ای مشتری به این سیاره است
آیا تنها قمر مشتری است؟,غیرقابل‌پاسخ
قمر گالیله‌ای یعنی چی؟,غیرقابل‌پاسخ
علت نام‌گذاری آیو چیست؟,غیرقابل‌پاسخ
دمایش چگونه است؟,این قمر از نظر اندازه اندکی بزرگ‌تر از ماه است
فعالیت آتشفشانی آن چگونه است؟,با ۴۰۰ آتشفشان فعال، آیو فعال‌ترین جرم از نظر زمین‌شناختی در سامانهٔ خورشیدی است
دلیل این فعالیت شدید چیست؟,علت فعالیت آتشفشانی بیش از حد آیو انرژی و اثر جزر و مدی مشتری و سایر قمرهای گالیله‌ای این سیاره بر این قمر است
پس سطح آن قرورفتگی‌های زیادی دارد؟,سطحی پر از حفره
بزرگترین کوه آن چه نام دارد؟,غیرقابل‌پاسخ
دریاچه چطور؟,لوکی‌پاترا
آیا دارای کوه‌های بزرگی است؟,ارتفاع برخی از آن‌ها از قلهٔ اورست بیشتر است
سطحش چند برابر زمین است؟,غیرقابل‌پاسخ
لیختن‌اشتاین در کدام قاره است؟,اروپا
آیا کوچکترین کشور این قاره است؟,سومین کشور کوچک در اروپا
نام پایتختش چیست؟,شهر فادوتس
جمعیت کشور چقدر است؟,۳۷ هزار نفر
مردمش به چه زبانی صحبت می‌کنند؟,آلمانی
کشورهای اطراف آن چه هستند؟,از شرق و شمال توسط اتریش و از غرب و جنوب توسط سوئیس احاطه شده‌است
آیا قبلا جزیی از سوئیس بوده؟,غیرقابل‌پاسخ
نظام سیاسی کشور چیست؟,پادشاهی مشروطه
دارای آزادی بیان هم هست؟,لیختن‌اشتاین و سوئیس تنها کشورهایی در اروپا هستند که دمکراسی مستقیم دارند
و آیا احزاب سیاسی مختلفی دارد؟,احزاب مهم سیاسی لیختن‌اشتاین عبارتند از اتحاد میهنی، حزب شهروند مترقی و حزب لیست آزاد (سبز)
دین مردمش چیست؟,دین ۷۸ ٪ از لیختن اشتاینی‌ها، کاتولیک و ۸ ٪ پروتستان می‌باشد
به لحاظ نژادی چطور هستند؟,۶۵ ٪ از مردم این کشور را لیختن اشتاینی، ۱۰ ٪ را سوییسی، ۵ ٪ را اتریشی و ۳ ٪ را آلمانی تشکیل می‌دهد
میزان رفاه آن‌ها چطور است؟,لیختن‌اشتاین یکی از بالاترین سطوح زندگی در جهان را دارد
پولشان یوروست؟,واحد پول این کشور فرانک سوئیس با جزء (راپن) نام دارد
عمده صادراتش چیست؟,صادرات این کشور را بیشتر فراورده‌های دندانپزشکی و ماشین آلات تشکیل می‌دهند
و واردات؟,غیرقابل‌پاسخ
آیا تا به حال در جنگی شرکت داشته؟,غیرقابل‌پاسخ
جغرافیای کشور چگونه است؟,کوه‌های آلپ در شرق این شاهزاده‌نشین قرار دارد. غرب کشور متشکل از جلگهٔ سیلابی رود راین است. رودهای مهم آن راین و سامینا و بلندترین نقطه آن گروز پیتز است که ۲۵۹۹ متر ارتفاع داردو این کشور آب و هوای آلپی معتدل دارد البته دارای زمستان‌هایی بسیار سرد و تابستانهایی خنک است
ارتباط موسیقی راک و راک اند رول چیست؟,موسیقی راک گونه‌ای موسیقی عامه‌پسند است که در دهه ۵۰ میلادی تحت عنوان راک اند رول شکل گرفت
مشخصه‌های این موسیقی چیست؟,شاخصهٔ راک ملودی صوتی و آوایی همراه با هارمونی است
آلات موسیقی مورد استفاده در آن چیست؟,گیتار الکتریک، گیتار بیس و درامز
عصر طلایی این موسیقی کی بوده؟,دهه شصت میلادی
در این دهه چه گذشت؟,شماری از سبک‌های زیرمجموعه موسیقی راک پدید آمدند نظیر بلوز راک، فولک راک، کانتری راک، جز- راک فیوژن که بسیاری از آن‌ها سهم بسزایی در گسترش سایکدیلیک راک داشتند که متأثر از جلوه‌های ضد فرهنگی بود. سبک‌های جدیدی که از این جلوه‌ها زاده شدند شامل پراگرسیو راک بود که عناصر هنری را گسترش می‌داد؛ گلم راک که سبک‌های بصری و نمایشی را پررنگ می‌کرد؛ و زیر شاخه‌های اصلی هوی متال که در عین تنوع بر قدرت صدا و سرعت تأکید داشتند
وضع موسیقی در دهه نود چطور بود؟,از دهه نود آلترناتیو راک بر راک غالب شد و خودش به زیر شاخه‌های گرانج، بیت پاپ و ایندی راک تقسیم گشت. بعلاوه سبک‌های فرعی از جمله پاپ پانک و رپ راک و رپ متال از آن تاریخ پدید آمدند و نیز بازنگری تاریخ راک نشان از آن دارد که سبک‌هایی نظیر گاراژ راک/ پست پانک و سینت پاپ در آغاز هزاره جدید جانی دوباره یافتند
در قرن بیست و یکم چطور؟,غیرقابل‌پاسخ
این موسیقی در ایران هم محبوب است؟,غیرقابل‌پاسخ
دیجیکالا در چه سالی ایجاد شد؟,سال ۱۳۸۵
بنیان‌گذارش کیست؟,برادران محمدی
انگیزه‌ آن‌ها چه بود؟,حمید و سعید محمدی دربارهٔ چرایی راه‌اندازی شرکت دیجی‌کالا اعلام کردند که در سال ۱۳۸۴، هر دو عکاسی دیجیتال را پیگیری می‌کردند و پس از جستجو در اینترنت دربارهٔ دوربین‌ها، دوربین دلخواه را از بازار خیابان جمهوری تهران خریداری کردند. اما پس از چند روز، پی بردند که لنز روی دوربین، دست دوم و تعمیر شده‌است. این رویداد، انگیزهٔ ایجاد نخستین فروشگاه مطمئنی که اطلاعات درستی به کاربران بدهد را در ذهن آن‌ها ایجاد کرد
با چه سرمایه‌ای شروع بکار کردند؟,۲۰ میلیون تومانی
دیجیکالا یک بازار عمده یا خرده‌فروش است؟,مدل کسب‌وکار دیجی‌کالا یک آمیختگی از بازارگاه مجازی و خرده‌فروشی است
فروش روزانه‌اش چقدر است؟,غیرقابل‌پاسخ
اکثر کالای فروشی آن چیست؟,غیرقابل‌پاسخ
تا چند کالا را می‌تواند در روز پشتیبانی کند؟,۶۰۰ هزار کالا
چند کارکن دارد؟,بیش از ۸ هزار نفر
این شرکت چقدر از بازار را در دست دارد؟,دیجی‌کالا ادعا کرده انحصار ۹۱٪ بازار خریداران اینترنتی ایرانی را در دست دارد
شرکت دارای زیر مجموعه هم هست؟,زیرمجموعه‌های دیجی‌کالا شامل دیجی‌استایل (پوشاک)، فیدیبو (کتاب الکترونیک)، دیجی‌پی (فین‌تک)، دیجی‌نکست (نوآوری)، دیجی‌کلاب (تشویق مشتریان وفادار)، دیجی‌پلاس، کمدا، پیندو و دیجی‌اکسپرس هستند
کل سهام شرکت مال برادران محمدی است؟,۳۵ درصد برادران محمدی
بقیه‌اش چطور؟,بنا به گفته مدیران دیجی‌کالا در آذر سال ۱۳۹۷، ۳۵ درصد سهام گروه دیجی‌کالا در اختیار سرآوا، ۳۵ درصد برادران محمدی، نزدیک ۲۵ درصد در اختیار شرکت سرمایه‌گذاری هلندی - صندوق اروپایی IIIC و بقیه نیز سهم تشویقی ۸۰ نفر از مدیران کلیدی دیجی‌کالاست
رقبای اصلیش چه شرکت‌هایی هستند؟,غیرقابل‌پاسخ
سایتش از چه تکنولوژی استفاده می‌کند؟,در سال ۱۴۰۰ زیرساخت اپلیکیشن و سایت دیجی‌کالا، به کتابخانه ری‌اکت مهاجرت کرد
قبل از ۱۴۰۰ چگونه بود؟,سورس کد بک اند نرم‌افزار سایت را داخل فریمورک‌های زبان‌های برنامه‌نویسی ای اس پی دات نت ام وی سی و پی اچ پی نوشته‌اند
آیا از هوش مصنوعی هم استفاده می‌کنند؟,غیرقابل‌پاسخ
خرید از سایت فقط با ایمیل قابل انجام است؟,برای ثبت نام و خرید و فروش از دیجی‌کالا به کد ملی احتیاج است
این کار دلیل تجاری دارد یا امنیتی؟,غیرقابل‌پاسخ
به شماره تلفن هم نیاز است؟,غیرقابل‌پاسخ
آیا تا به حال از آن شکایتی شده؟,اغلب شکایت‌ها از دیجی‌کالا به دلیل تقلبی بودن و مغایرت کالا و درج اطلاعات غلط و غیرواقعی در وبسایت، عدم نظارت و عدم پاسخ‌دهی است
فلج اطفال یک بیماری باکتریاییست یا ویروسی؟,ویروسی
نام ویروسش چیست؟,ویروس پولیو
آیا تک سویه است؟,۳ سویه
شایع‌ترینشان کدام است؟,سویه ۱ این ویروس، ۸۵ درصد موارد این بیماری را شامل می‌شد
کدام قسمت بدن را مورد حمله قرار می‌دهد؟,دستگاه گوارش و در بعضی مواقع دستگاه عصبی مرکزی را درگیر می‌کند
چرا به آن فلج اطفال می‌گویند؟,غیرقابل‌پاسخ
نحوه انتقال ویروسش چطور است؟,راه انتقال این ویروس دهانی دهانی یا مدفوعی دهانی است
از حیوان هم انتقال می‌یابد؟,ویروس پولیو تنها از انسان به انسان منتقل می‌شود
آیا واکسن دارد؟,دو نوع واکسن جهت پیشگیری از این بیماری وجود دارد
توضیح بده؟,واکسن تزریقی: این واکسن اولین واکسنی بود که بر ضد فلج اطفال تهیه شد. این واکسن از ویروس کشته شده و غیرفعال شده پولیو تهیه شده بود و تزریقی بود. این واکسن را بنام IPV نیز می‌شناسند که خلاصه شده Inactivated polio vaccine می‌باشد. واکسن خوراکی: این واکسن چند سال بعد از واکسن تزریقی تهیه شد و حاوی ویروس ضعیف شده بود. این واکسن را بنام OPV که خلاصه شده oral polio vaccine نیز می‌نامند
کدام بهتر است؟,واکسن خوراکی پولیو
علت این موضوع چیست؟,ایجاد ایمنی گوارشی بهتر (better intestinal immunity) واکسیناسیون غیرفعال افراد از طریق انتقال ویروس ضعیف شده بین افراد سادگی مصرف هزینه کمتر تهیه
پس بهتر است نوع خوراکی مصرف شود؟,البته یکی از عوارض واکسن خوراکی، ایجاد فلج ناشی از ویروس ضعیف شده پولیو واکسن (vaccine-associated paralytic poliomyelitis) می‌باشد. از سال ۱۹۶۱ تا سال ۱۹۸۹ به‌طور متوسط سالانه ۹ نفر درآمریکا دچار عارضه فلج ناشی از ویروس ضعیف شده واکسن می‌شدند. به همین دلیل در سال ۱۹۹۹ تغییری در سیاست واکسیناسیون فلج اطفال در آمریکا به وجود آمد و واکسن تزریقی جایگزین واکسن خوراکی گردید بدین ترتیب از ۸–۱۰ مورد فلج ناشی از ویروس ضعیف شده پولیو واکسن، جلوگیری به عمل آمد
واکسنش چه زمانی کشف گردید؟,سال ۱۹۵۵
درصد تاثیر واکسن چقدر است؟,غیرقابل‌پاسخ
این بیماری فلج را در کدام نقطه بدن ایجاد می‌کند؟,غیرقابل‌پاسخ
"چرا به چای سبز, چای سبز می‌گویند؟",برخلاف چای سیاه، چای سبز فرایند اکسیداسیون (تخمیر) را طی نمی‌کند. عمل حرارت دادن و خشک کردن برگ چای قبل از تخمیر، باعث حفظ کلروفیل داخل برگ می‌شود
کلروفیل چیست؟,کلروفیل ماده‌ای است که باعث سبز شدن رنگ برگ گیاه می‌شود
آیا مانند چای معمولی دم می‌شود؟,مهم‌ترین نکته‌ای که باید در تهیه دمنوش چای سبز درنظر داشته باشید، این است که نباید آن را مانند چای سیاه در معرض حرارت مستقیم قرار دهید
پس چطور؟,برای تهیه این چای ابتدا باید آب را روی حرارت قرار دهید تا جوش بیاید. سپس زیر آن را خاموش کنید و بگذارید ۵ دقیقه بماند تا دمای آن کمی کاهش یابد و به حدود ۸۰ درجه برسد. برای دو فنجان چای سبز، یک قاشق غذاخوری سرخالی چای داخل قوری بریزید و سپس آب ۸۰ درجه را به آن اضافه کنید. ۵ تا ۸ دقیقه زمان دهید تا چای سبزتان دم بکشد. پس از این مدت، چای سبز خوش طعم شما آماده است
آیا مصرف آن باعث مشکل می‌شود؟,غیرقابل‌پاسخ
مصرف زیاد آن ضرری ندارد؟,غیرقابل‌پاسخ
خوردن آن با بقیه مواد غذایی تداخل ایجاد می‌کند؟,غیرقابل‌پاسخ
آیا در درمان جوش موثر است؟,پلی فنول‌های موجود در چای سبز می‌توانند تولید روغن سبوم را کاهش دهند که علت اصلی بروز آکنه است. هنگامی که پوست شما تعادل در تولید چربی داشته باشد، خطر بروز آکنه کاهش میابد. مطالعه بر روی خواص ضد میکروبی چای سبز نشان می‌دهد که این چای می‌تواند به غشاهای باکتریایی که باعث آکنه یا سایر عفونت‌ها می‌شوند آسیب برساند
برای التهاب چطور؟,چای سبز سرشار از پلی فنول بوده که دارای خواص ضد التهابی است. که می‌تواند پوست تحریک شده شما را آرام کند. قرمزی ناشی از تحریک را کاهش دهد و همچنین تورم پوست شما را کم کند
پلی‌فنول چیست؟,غیرقابل‌پاسخ
آیا می‌توان از ماسک آن برای صورت استفاده کرد؟,استفاده از تونر یا ژل چای سبز برای زخم‌ها یا آفتاب سوختگی همیشه مفید است. در واقع، تحقیقات نشان می‌دهد که استفاده موضعی از چای سبز می‌تواند بسیاری از مشکلات پوستی را حل کند
برای جوان‌سازی هم اثری دارد؟,یک مطالعه نشان داد که چای سبز برای جوانسازی پوست بسیار موثر است
چگونه این‌کار را می‌کند؟,همچنین اپی گالوکاتچین گالات (EGCG) موجود در چای سبز قادر است سلول‌های در حال مرگ پوست را جوان کند. همچنین سلول‌های آسیب دیده پوست را ترمیم می‌کند و به شکل‌گیری سلول‌های جدید کمک می‌کند که پوست شما را جوان نگه می‌دارد و از علائم پیری مانند خطوط ریز و چین و چروک جلوگیرى میکند
اولین بار در کجا کشت شد؟,چای سبز اصالتا محصول چین است
به جز چین کشورهای دیگر هم تولید می‌کنند؟,تولید و توزیع آن به سایر کشورهای شرق آسیا نیز سرایت کرده‌است
کلمه کوارتز به چه معناست؟,(به معنی سخت
ریشه‌اش در چه زبانیست؟,کلمه کوارتز از لغت آلمانی «Quarz» مشتق شده و این کلمه احتمالا از لغت اسلاوی tvrdý (به معنی سخت) ریشه گرفته‌است
این کانی چه رنگی است؟,کوارتز به رنگ و اسامی مختلف دیده شده‌است که یکی انواع آن عقیق است که به رنگهای کهربائی- زرد- سفید- جگری- جگری مایل به سیاه و سبز دیده شده‌است
رنگ بقیه به جز عقیق چطور؟,غیرقابل‌پاسخ
از کجاها بدست می‌آید؟,به وفور در طبیعت یافت می‌شود
آیا کانی‌ای سخت است؟,سختی ۷ در مقیاس موس
مقیاس موس چیست؟,غیرقابل‌پاسخ
این کانی گرانبهاست؟,غیرقابل‌پاسخ
مهم‌ترین انواع آن چیست؟,کوارتز صورتی، اوپال و عقیق
ویژگی‌های فیزیکی و شیمیایی آن چگونه است؟,مجموعه ویژگی‌های شیشه‌های کوارتز به موارد زیر اشاره داشت: نفوذپذیری، سختی و مقاومت بالا، مقاومت بالا در برابر حرارت، خلوص شیمیایی، ضریب توسعه حرارتی مناسب، عایق الکتریکی، مقاومت بالا در برابر خوردگی، انتقال نوری گسترده، یکی از مهمترین و پر استفاده‌ترین عناصر در ساخت عدسی و اشیای اپتیکی و
آیا در زمین فراوان است؟,کوارتز بعد از فلدسپات، دومین ماده کانی فراوان پوسته زمین است
در سیارات دیگر هم یافت می‌شود؟,غیرقابل‌پاسخ
نحوه‌ی شکل‌گیری این کانی چگونه است؟,آب‌های داغ دارای محلول‌های SiO۲ در شکاف‌ها و درزها سرد می‌شوند و رسوب SiO۲ در این مکان‌ها بلورهای کوارتز را به‌وجود می‌آورند
آبشار نیاگارا در کجا واقع است؟,در مرز آمریکا و کانادا در استان انتاریو از قلمروی کانادا و در ایالت نیویورک از قلمرو آمریکا جای دارد. این آبشارها در سر جنوبی گلوگاه رود نیاگارا قرار دارد
مگر یک آبشار بیشتر است؟,آبشارهای نیاگارا (به انگلیسی: Niagara Falls) به مجموعهٔ سه آبشار گفته می‌شود
نام این سه چیست؟,آبشار نعل اسب، آبشار آمریکایی و آبشار نقاب عروس
چرا این نام‌ها رویشان گذاشته شده؟,غیرقابل‌پاسخ
کدامشان در خاک آمریکاست؟,آبشار آمریکایی در بخش آمریکایی جای دارند که بوسیلهٔ جزیرهٔ بز یا گوت آیلند از هم جدا شده‌اند. آبشار کوچکتر یا همان نقاب عروس هم در سوی آمریکایی این مجموعه آبشار است
پیدایش آن‌ها مربوط به چه زمانیست؟,۱۰۰۰۰ سال پیش و عصر یخبندان ویسکانسین
چگونه ایجاد شدند؟,در این دوران با کنده شدن زمین، راه برخی رودخانه‌ها عمیق‌تر شده و دریاچه‌ها پدید آمده‌اند همچنین با جمع شدن زباله‌های حاصل از یخبندان (مانند رسوب و صخره‌های کنده شده) راه آب بقیه بسته شده و آب در آن ناحیه جمع شده‌است. برخی دانشمندان فکر می‌کنند که احتمالا در این منطقه، در محل کانال ولاند یک دره وجود داشته که با رسوب و صخره‌های کنده شده در دوران یخبندان، پر شده‌است
آبش از کجا تامین می‌شود؟,دریاچهٔ ایری
به کجا می‌ریزد؟,دریاچهٔ انتاریو
مساحتش چقدر است؟,غیرقابل‌پاسخ
ارتفاع آن چطور؟,بلندی آبشار نعل اسبی ۵۳ متر است درحالی که بلندی آبشار آمریکایی میان ۲۱ تا ۳۰ متر تغییر می‌کند
دلیل تغییر ارتفاع چیست؟,به دلیل وجود صخره‌های بزرگ در بستر آن است
حجم آب عبوری از آن چقدر است؟,آبشار نعل اسبی با توجه به ارتفاع سقوط آب و شدت جریان، قوی‌ترین آبشار در آمریکای شمالی است. در زمان پرآبی بیش از ۱۶۸ هزار مترمکعب و در حالت عادی نزدیک به ۱۱۰ هزار مترمکعب آب در دقیقه از این آبشار سرازیر می‌شود
داستان کشتی نوح در کجا آمده؟,داستان‌های کتب مقدس در دین‌های ابراهیمی
کدام آیات؟,بخش‌های ۶ تا ۹ کتاب پیدایش، اولین کتاب از تورات یهودیان و قرآن (سوره‌های ۱۱ و ۷۱) آمده و نسخه‌های دیگری از آن نیز در دیگر منابع یهودی، مسیحی و اسلامی دیده می‌شود
نوح به فرمان چه شخصی کشتی را ساخت؟,یهوه
یهوه کیست؟,غیرقابل‌پاسخ
ونوس مگس‌خوار نام یک جانور است؟,یک گیاه گوشتخوار است
نام علمی‌اش چیست؟,Dionaea muscipula
چرا به آن ونوس می‌گویند؟,نام رایج گیاه اشاره به ونوس، ایزد رومی عشق دارد
dionaea muscipula معنای خاصی دارد؟,نام سرده گیاه Dionaea (دختر الهه یونان دیونه) اشاره به آفرودیته ایزدبانوی یونانی دارد، در حالی که نام گونه muscipula است که در لاتین معنای تله‌موش می‌دهد. در عربی و متون اولیهٔ فارسی، «خانق الذباب»، «مگس‌گیر» و «دیونه» گفته می‌شود
برای رشد نیاز به شرایط خاصی دارد؟,گیاه گوشتخوار ونوس اغلب در زمین‌هایی می‌روید که دارای منابع کمی از نیتروژن می‌باشند
چرا نیتروژن کم؟,غیرقابل‌پاسخ
چگونه مگس‌ها را به دام می‌اندازد؟,انتهای برگ‌های آن دارای موهای ریزی در سطوح داخلی است که باعث برانگیخته شدن آن می‌شود، و با ساختار خاصی که در پایانه هر برگ وجود دارد، می‌تواند طعمه را به دام بیندازد
چگونه آن را هضم می‌کند؟,ماده‌ای اسیدی بر آن ترشح می‌کند تا آن حشره را بکشد و به تغذیهٔ خود درآورد
به جز مگس چیز دیگری هم می‌خورد؟,حشرات
اسید آن به انسان آسیب می‌رساند؟,غیرقابل‌پاسخ
گیاه به چه شکلی است؟,مگس‌گیر ونوس یک گیاه کوچک است که ساختاری گل کاغذی دارد. برگ‌های آن بین ۴ تا ۷ عدد است که از یک ساقه زیر زمینی با ساختار حباب مانند به وجود آمده‌است. در طول هر سال، هر ساقه می‌تواند به طول ۳ تا ۱۰ سانتی‌متر برسد
گل‌هایش چه رنگی است؟,سفید
در ایران هم یافت می‌شود؟,غیرقابل‌پاسخ
در دنیا بوفور یافت می‌شود؟,تخمین زده می‌شود بیش از ۳ تا ۶ میلیون گیاه در کشت، و حدود ۳۵٬۸۰۰ گیاه باقی‌مانده در طبیعت وجود داشته باشد. چندین نفر از حامیان برجسته طبیعت و گیاهان، پیشنهاد داده‌اند که این گیاه برچسب آسیب‌پذیر بگیرد
در گلدان هم می‌توان آن را رشد داد؟,مگس‌گیر گیاهی بیابانی، زینتی و پایا وصف شده
جزایر سلیمان کجاست؟,اقیانوس آرام جنوبی
نزدیک استرالیاست؟,از جنوب باختری با استرالیا همسایه‌است
همسایه‌های دیگر آن چه کشورهایی هستند؟,از باختر با پاپوآ گینه نو، از خاور با وانواتو
چرا نام کشور جزایر سلیمان است؟,غیرقابل‌پاسخ
کشوری مستقل است؟,در سال ۱۹۷۶ این کشور از بریتانیا اعلام استقلال کرد
رهبر این کشور کیست؟,ملکه بریتانیا حکمران و رئیس دولت این جزایر است و نماینده‌ای به نام فرماندار کل در آن‌جا دارد
وظایف فرماندار کل چیست؟,غیرقابل‌پاسخ
حکمرانی ملکه فقط اسمی است؟,غیرقابل‌پاسخ
پایتختش کجاست؟,هونیارا
شهرهای مهم دیگری هم دارد؟,گوادال کانال، مالایتا، نیو جورجیا و سان کریستوبال
این جزیره در جنگ جهانی دخیل بوده؟,در طول جنگ جهانی دوم شاهد درگیری‌های نیروهای متفقین و نیروهای محور بود
آیا توانست از خود دفاع کند؟,در طول جنگ جهانی دوم ژاپن آن را اشغال کرد
پس تحت حمایت نظامی بریتانیاست؟,غیرقابل‌پاسخ
صادراتش چیست؟,الوار، ماهی، البسه، روغن خرما و نارگیل
واردات چطور؟,غذا، دستگاه‌ها و تجهیزات، کالاهای تولید شده، سوخت و مواد شیمیایی
آب و هوایش به چه شکل است؟,آب و هوای این جزایر استوایی است و حداکثر دما و بارندگی از نوامبر تا آوریل است
و تنوع جانوریش؟,غیرقابل‌پاسخ
به لحاظ جغرافیایی چگونه است؟,این کشور از جزایر کوهستانی و آتشفشانی سلیمان، که متشکل از شش جزیره اصلی و چند صد جزیره کوچک است، تشکیل شده‌است
چند جزیره؟,بیش از ۹۹۰
فتوسنتز چیست؟,فتوسنتز فرآیندی زیست‌شیمیایی است که در آن، انرژی نورانی خورشید توسط گیاهان و برخی از باکتری‌‌ها به انرژی شیمیایی ذخیره‌شده در مواد غذایی آن‌ها تبدیل می‌شود
یعنی جانوران این توانایی را ندارند؟,پژوهشگران دانشگاه تل‌آویو در سال ۲۰۱۰ کشف کردند که زنبور سرخ آسیایی، با استفاده از رنگدانه‌های به‌نام زانتوپترین، نور خورشید را به برق تبدیل می‌کند. این شواهد علمی نشان داد که جانوران نیز در فتوسنتز درگیرند
فتوسنتز در کجای گیاه اتفاق می‌افتد؟,همهٔ بخش‌های سبزرنگ گیاه، قادر به انجام عمل فتوسنتز هستند
بیشتر در کجاست؟,سلول‌های برگ، بیشترین مقدار کلروپلاست را دارند و به‌همین دلیل، اندام اصلی فتوسنتز در گیاهان به‌شمار می‌آیند
در ریشه هم فتوسنتز هم اتفاق می‌افتد؟,فتوسنتز در اندام‌هایی که فاقد سبزینه هستند، انجام نمی‌گیرد
سبزینه چیست؟,مادهٔ سبز موجود در گیاهان که سبزینه یا کلروفیل نام دارد، آغازکنندهٔ واکنش‌های فتوسنتز است
ساختار سبزینه چگونه است؟,غیرقابل‌پاسخ
خروجی فتوسنتز چیست؟,اکسیژن و کربوهیدرات‌‌ها
چه کربوهیدراتی؟,گلوکز
آیا اکسیژن زمین تنها از فتوسنتز تامین می‌گردد؟,همهٔ اکسیژن کنونی موجود بر روی زمین، فراوردهٔ فتوسنتز است
این فرآیند توسط چه کسی کشف شد؟,غیرقابل‌پاسخ
آیا امروزه فتوسنتز مصنوعی هم وجود دارد؟,غیرقابل‌پاسخ
ساختار تری گلیسیرید چیست؟,تری‌گلیسرید یا تری‌آسیل گلیسرول از ترکیب یک الکل سه‌عامله (گروه هیدروکسیل یا oH-) به‌نام گلیسرول و سه اسید چرب ایجاد می‌شود
خواص این ماده چیست؟,نسبت به قندها دارای میزان انرژی نهفته (انرژی پتانسیل) بیشتری است. همچنین این مولکول از نظر شیمیایی مولکولی بی‌اثر (Inert) است و خصلت آب‌گریزی (چربی‌دوستی) آن نیز از وجوه متمایزکنندهٔ آن نسبت به کربوهیدرات‌هاست
